"","x"
"1",12.2775568695376
"2",10.144526412908
"3",10.6003483827112
"4",10.8847383647398
"5",10.6675778793759
"6",10.6959704395123
"7",10.3559485791059
"8",10.7437462925436
"9",10.3153576833267
"10",11.1664115618482
"11",10.6680548253643
"12",12.2158416959876
"13",9.4404999107255
"14",10.9525937492834
"15",11.1083046954824
"16",11.1197601462696
"17",10.4582881577042
"18",9.97387427012202
"19",12.1098564089453
"20",12.5750637012499
"21",11.7277228579366
"22",11.267197525068
"23",9.92942674466694
"24",9.74047487883642
"25",9.64627246976693
"26",11.0014550139928
"27",11.8313921370324
"28",9.76026461496008
"29",10.4086273364527
"30",10.7655663965839
"31",9.67969221831874
"32",9.79058980704734
"33",11.9387698448774
"34",10.5242133067027
"35",10.7777458319593
"36",10.2776836260341
"37",11.1071830584326
"38",11.4139035122085
"39",10.5738091520331
"40",10.6560798305293
